Question,Answer,Explanation
"A 64-year-old male with a history of well-controlled diabe - tes is diagnosed with ALK(−) anaplastic large cell lympho - ma (ALCL). Staging studies show evidence of nonbulky  disease both above and below the diaphragm. He receives  6 cycles of cyclophosphamide, Adriamycin, vincristine,  and prednisone (CHOP) chemotherapy and achieves a  partial remission. Eighteen months later, repeat imaging  shows progressive disease in the retroperitoneum and me - diastinum. You are considering brentuximab vedotin as  his next line of therapy. Which of the following side effects  are commonly associated with brentuximab vedotin",C,"The antibody drug conjugate brentuximab vedotin targets CD30 and is approved for the treatment of relapsed ACLC and relapsed Hodgkin lymphoma. Brentuximab vedotin is associated with peripheral neuropathy, hepatotoxicity, rash, nausea, and neutropenia. The drug should never be used with bleomycin, as serious and fatal pulmonary events can occur."
"A 32-year-old man was recently diagnosed with diffuse  large B-cell lymphoma. He is found to have stage III disease  with enlarged nodes above and below the diaphragm. On  day 17 of cycle 1 of chemotherapy, he is found to have ele - vated liver enzymes. His aspartate aminotransferase (AST)  and alanine aminotransferase (ALT) are 225 and 430, re - spectively. He is found to have a positive hepatitis B surface  antigen (HBsAg). Which of the following agents is most as - sociated with an increased risk of hepatitis B reactivation",C,"Hepatitis B reactivation is a serious complication of rituxi mab treatment. Rituximab can suppress both T cell and B cells, and accelerates HBV replication. Screening for hepa titis B is always indicated prior to rituximab exposure. During treatment, the monitoring of HBV DNA levels of at risk patients is recommended, and antiviral prophylaxis with nucleoside analogs should be considered."
"On day 6 of cycle 1 of rituximab, ifosfamide, carboplatin,  and etoposide (R-ICE) chemotherapy, a 64-year-old male  with a history of chronic renal insufficiency develops an  acute episode of confusion, lethargy, and dysarthria. He  is afebrile, and no acute abnormalities are seen on brain  MRI. Urinalysis is normal, and there is no clear evidence of  infection. What is the next appropriate step in the manage - ment of this patient",B,"Ifosfamide has been associated with dose dependent en cephalopathy. The mechanism is unknown but may be as sociated with the accumulation of toxic metabolites. Risk factors for encephalopathy include preexisting renal con ditions, hyponatremia, low abdomen, and patients over 60. The majority of cases are reversible. Treatment includes discontinuation of the drug, neurological monitoring, and the administration of methylene blue."
"5-cm lesion at the periphery  of the right breast. Ultrasound of the right breast confirms  a solid mass at the 3 o’clock position. Excluding a benign  lesion, which of the following diagnosis is most common",A,"The development of ALCL has been associated with sili cone breast implants. The disease often presents as a lo calized mass or persistent seroma adjacent to the implant site. Most patients have an excellent prognosis after surgi cal resection of the implant, capsule, and associated mass. A worse prognosis is associated in patients who develop extracapsular extension or have bilateral disease."
Which of the  following infections are associated with this diagnosis,A,"SMZL often presents with splenomegaly, cytopenias, and elevated peripheral white blood cell count. Tumor B cells typically express surface immunoglobulin (e.g., IgM+, IgD+), CD19, CD20 and BCL 2, but are negative for CD5 and CD10. The disease is associated with advanced age (>65) and cooccurrence of hepatitis C virus (HCV) infec tion or Kaposi’s sarcoma associated herpes virus."
Which of the following approaches is most appropriate to  managing his HIV during treatment,E,Patients with HIV and diffuse large B cell lymphoma should continue antiretroviral therapy during chemother apy. Antiretroviral therapy has been shown to improve clinical outcomes. Dose reduction of chemotherapy or holding rituximab during treatment has not been shown to improve outcomes.
A 59-year-old male was recently diagnosed with a stage III  follicular lymphoma. Histology from an excisional biopsy  shows 5–10 centroblasts per high-powered field. Bone mar - row biopsy demonstrates 10% involvement with a popu - lation of small CD10+ and CD 20+ B cells. This patient’s  10-year risk of aggressive transformation is approximately:  ,B,"Histological transformation of follicular lymphoma is a biological event that occurs at a fairly a constant (2%–4%) annual rate. The risk is additive, and a patient’s 10 year risk is approximately 30%. Biopsy is generally required to confirm the diagnosis."
"A 54-year-old male was recently diagnosed with a grade 2  follicular lymphoma. Imaging studies show evidence of dif - fuse adenopathy both above and below the diaphragm. The  patient complains of night sweats and fevers, along with  abdominal bloating. He received 6 cycles of rituximab, cy - clophosphamide, Adriamycin, vincristine, and prednisone  (R-CHOP). PET imaging at the end of treatment shows a  complete metabolic response. Two months after finishing  chemotherapy, he is started on rituximab maintenance giv - en every 2 months. Rituximab maintenance in this setting is  associated with which of the following benefits",A,"In the landmark PRIMA study, rituximab maintenance following a rituximab containing induction regimen was associated with improvement in progression free survival. This study did not show an improvement in overall sur vival, and maintenance therapy was associated with a small increase in infectious risk.4"
"A 43-year-old male presents to his primary care physician  complaining of a painless unilateral testicular mass. Or - chiectomy demonstrates a population of CD20+ large B  cells abutting the removed testicle. A PET-CT scan shows  evidence of a 3-cm node in the left inguinal area with no  evidence of FDG avid adenopathy in the contralateral tes - tis or above the diaphragm. The patient received 6 cycles of  rituximab, cyclophosphamide, Adriamycin, vincristine, and Non-Hodgkin Lymphoma 38 prednisone (R-CHOP) with intrathecal chemoprophylaxis.  What is your next step in management of the patient",C,Testicular lymphoma has a propensity to recur in the con tralateral testes and central nervous system (CNS). Pro phylactic CNS therapy with high dose methotrexate or intrathecal therapy is indicated. The blood testes barrier prevents the passage of cytotoxic agents into the seminif erous tubules and can limit the efficacy of chemotherapy. Irradiation to the contralateral testes in patients who have prior orchiectomy is indicated.
"6 g/dL by his primary care doctor. There are no  other laboratory abnormalities (normal calcium, hemo - globin, creatinine, and random urine for protein). A serum  protein electrophoresis showed a polyclonal gammopathy  with a serum immunofixation electrophoresis showing oli - goclonal banding. On further history, the patient informs  you that his grandmother died of myeloma 16 years ago.  He wants to know which epidemiological features have  been associated with myeloma:  ",E,"Although the etiology of myeloma remains uncertain, there are associated risk factors, including obesity, workers extensively exposed post 9/11, and Vietnam veterans ex posed to agent orange. There are a database studies (Swe den) that have studied familial association and found there is a slight risk increase in lymphoproliferative disorders (CLL, NHL, amyloid) in family members of individuals with monoclonal gammopathy, such as multiple myeloma application."
The criteria for the revised International Staging System  includes the following parameters:  ,D,"The initial international staging system did not have suf ficient cytogenetic data to include cytogenetic risk stratifi cation in the ISS. Subsequently, Palumbo et al. have pub lished the revised ISS, which includes cytogenetics and LDH."
"In 2016, there were approximately 30,280 new cases  of myeloma diagnosed with a prevalence projected at  118,000 cases. Based upon the most recent SEER data, a  newly diagnosed patient with multiple myeloma, across  all age groups, will have a 5-year estimated survival of the  following:  ",B,"The number of newly diagnosed myeloma patients is in creasing yearly, mainly due to an increase in the popula tion aged 65–75 (Baby Boomers) resulting in approxi mately a 118,000 prevalence. With the incorporation of immunomodulatory agents and proteasome inhibitors into standard treatment algorithms, the 5 year survival has essentially doubled over the past 5 years to 50%."
"9 mg/dL; free  light chain ratio of greater than 100; PET and MRI show no  lytic disease; bone marrow biopsy of 65% plasma cell in - volvement, with normal cytogenetics and a negative FISH  panel. What is your diagnosis for this patient",D,"Based upon the increased risk of developing symptomatic organ compromise, approximately 60%–80% within 2 years, the International Myeloma Working Group has re vised the definition of active myeloma to include patients with ≥1 lesion on MRI, a free light chain ratio greater than 100, or bone marrow plasma cell concentration of greater than 60%."
The pa - tient inquires about how well the transplant worked. You  inform him that he has achieved what depth of response,C,"The International Myeloma Working Group response cri teria would categorize this depth of response as a complete remission (negative SPEP/UPEP , sIFE/uIFE and negative bone marrow by immunohistochemistry). The free light chain has not yet normalized (0.25–1.65), so a stringent complete response has not been achieved. There are now criteria for minimal residual disease by flow cytometry, by next generation sequencing, and by MRI/PET/CT."
"5 g/dL, IgG lambda, IgG 5200  mg/dL, IgA 35 g/L, IgM 25 g/L. Bone marrow: 40% plas - ma cells, cytogenetics normal; FISH: no adverse features.  In addition to zoledronic acid administration monthly,  you plan to initiate the following double:  ",D,"Per insert prescribing guidelines for lenalidomide, the lenalidomide should be dose reduced for a creatinine clearance of less than 60 mL/min. The dexamethasone is recommended to be dose reduced to 20 mg from 40 mg weekly for individuals older than 75 years of age."
5 g drop in her hemoglobin  from her baseline. Which of the following would not be an  approved treatment option for first relapse,C,"Only pomalidomide and dexamethasone would not be in dicated in this patient who is in first relapse. There are a wide range of available regimens that are FDA approved for individuals with one to three prior therapies, all of which are effective, although the mode of administration (IV/SQ/ PO) and toxicity profiles differ. Pomalidomide is approved for patients with at least two prior therapies (including le nalidomide and bortezomib) who have demonstrated pro gressive disease within 60 days of the last therapy."
Which of the following monoclonal antibodies targets  SLAMF7 and activates NK activity,B,"Elotuzumab targets signaling lymphocyte activation mole cule family member 7 (SLAMF7) whereas daratumumab/ isatuximab target CD38, indatuximab ravtansine CD138. Pembrolizumab is a programmed death 1 (PD 1) mono clonal antibody."
"A 74-year-old female presents with relapsed IgG lambda  myeloma. Her history includes initial FISH studies: t(4;14)  translocation. Two years ago, she received induction ther - apy with bortezomib/cyclophosphamide/dexametha - sone followed by autologous transplant. She then received  maintenance SQ bortezomib every 2 weeks for 1 year, but  relapsed. She was switched to lenalidomide plus low-dose  dexamethasone but progressed after 9 months. A 2-month  course of lenalidomide/ixazomib/dexamethasone result - ed in progressive disease. Given her high-risk disease, you  recommend the following regimen:  ",B,"or D The initial FDA approval for daratumumab, an anti CD38 monoclonal antibody, was for patients with three or more prior lines of therapy. Subsequently, daratumumab has been approved with either bortezomib or lenalido mide for one to three lines of prior therapy. Elotuzumab/ lenalidomide/dexamethasone would not be indicated; there are no data combining elotuzumab in lenalidomide refractory patients. Similarly, there are no data to sup port carfilzomib/lenalidomide/dexamethasone in lena lidomide refractory patients. Bortezomib/panobinostat/ dexamethasone is an FDA approved regimen, but this patient has progressed on bortezomib maintenance and became refractory to the oral boron based proteasome inhibitor, ixazomib. Answer D is a very attractive option: the patient has not been treated with either pomalido mide or carfilzomib; pomalidomide is active in lenalid omide refractory patients, and carfilzomib is active in bortezomib refractory patients."
"In the revised International Staging System, high-risk cy - togenetic features include the following:  ",C,"In the revised International Staging System, high risk cytogenetics by FISH includes t(4;14), t(14;16), and 17p. There are other cytogenetic risks that are not included in the Mayo Stratification for Myeloma and Risk Adapted Therapy (mSMART)."
"The mainstays of myeloma therapy are immunomodu - latory agents and proteasome inhibitors in combination  with corticosteroids (dexamethasone). The proteasome  inhibitors are reversible or irreversible, boron-based or  epoxyketone-based. One of the main pathways of inhibi - tion is through which of following",C,"Although a number of pathways for proteasome inhibition may contribute to clinical activity, the most well studied is through Nf kappa B."
"After 3 cycles of therapy, the patient began to  complain of loss of feeling and numbness in her feet that  has gotten worse and is now painful. You explain to the  patient that the neuropathy is from bortezomib and dis - cuss the following options with her:  ",B,Peripheral neuropathy can be a devastating treatment related complication in multiple myeloma. Treatment choices are limited and variably effective. The clinician Multiple Myeloma and Other Plasma Cell Dyscrasias 44 must be proactive in dose reduction or discontinuation in the setting of emergent neuropathy in an attempt to pre vent long term symptoms.
Which of the following is true of ASCT for myeloma,B,"Approximately 15% of patients achieve long, durable re mission exceeding 10 years following transplantation. However, there is not yet a plateau on survival curves with current treatment approaches. Patients with chemothera py sensitive disease have better outcomes posttransplant. The typical induction regimen consists of an immunomod ulatory agent, a proteasome inhibitor, and corticosteroids. Melphalan, an alkylating agent, should be avoided as it can compromise stem cell mobilization and may increase the risk of myelodysplasia/acute leukemia."
A 45-year-old patient has newly diagnosed myeloma and is  treated with 4 cycles of lenalidomide and dexamethasone  (Rd) chemotherapy. He achieves a very good response and  is now in good performance status. Cytogenetics are nor - mal. Which of the following would be an ideal therapeutic  choice for this patient,B,"There are now four randomized clinical trials that have been completed (two published, two presented in abstract) comparing either transplant versus no transplant, or early versus late transplant. All four show definite improvement in progression free survival in the patients who receive an early transplant. Therefore, early transplant continues to be the recommended treatment. In addition, if the patient was considered ineligible for transplant, the current recommen dations are to continue the induction therapy indefinitely."
Which of the following is not a risk factor for progression  in MGUS,C,"The risk of MGUS evolving into active myeloma is approx imately 1%/year (cumulative). This can be further strati fied based upon the size of the M protein (>1.5 g/dL), the type of M protein (IgA or IgM), and an abnormal free light chain ratio (>8). Since this is cumulative, the risk of evolu tion increases over time."
"9 mg/dL. He has multiple lytic lesions,  but none are at significant risk for fracture. You suggest start - ing him on treatment with lenalidomide, bortezomib, and  dexamethasone, as well as a bisphosphonate. In addition, as  part of his initial treatment plan, you suggest that the patient  should:  ",D,"The standard of care for newly diagnosed myeloma patients is for induction therapy, usually with a triplet (immunomod ulatory agent, proteasome inhibitor, and corticosteroids) followed by a consolidative high dose therapy with ASCT. Lenalidomide is now FDA approved as maintenance therapy post autologous transplant with improvement in progres sive free survival and, in some trials, overall survival."
"CD20 and  CD30 are negative, and EBER is negative. The most likely  diagnosis is:  ",D,"Blastic plasmacytoid dendritic cell neoplasm is a malig nancy that usually presents in the skin. The cells express CD4 and CD56. Primary cutaneous anaplastic large cell lymphoma is always universally CD30 expressing. Subcu taneous panniculitis–like T cell lymphoma expresses CD8 and not NK markers, such as CD"
What do you tell her regarding her prognosis and recom - mended management,B,"In children, induction regimens, such as ALL or for ag gressive non Hodgkin lymphomas, are usually effective. In adults, these regimens can induce remissions, but better results seem to be obtained with consolidation with allo geneic stem cell transplant. Topical mechlorethamine and imatinib are not known to be active treatments."
"These larger cells,  as well as some of the small- and medium-sized lympho - cytes, also express EBER. Kappa and lambda light chains  appear to be expressed in equal amounts. The most likely  diagnosis is:  ",B,"The development of and EBV+ lymphoproliferation in a pa tient with a history of previous organ transplant with ongo ing immunosuppression is indicative of PTLD. In this case, it is a polymorphic subtype. Absence of CD30 and CD56 ar gue against Hodgkin lymphoma and extranodal NK T cell lymphoma. The mixed inflammatory background and lack of light chain restriction argue against diffuse large B cell lymphoma."
This patient is referred to you. Positron emission tomog - raphy/computed tomography (PET-CT) shows multifocal  FDG-avid areas in the large bowel as well as the left ingui - nal lymph nodes. For initial therapy you recommend:  ,A,"This patient has what is best characterized as polymor phic PTLD. In these cases, some patients will respond to a reduction in immunosuppression alone. However, given the multifocal and symptomatic disease, it is most pru dent to treat rather than to wait for a slow response. Many patients will respond to rituximab with a reduction in immunosuppression with rituximab. For those with early lesions or polymorphic PTLD, combination chemo immu notherapy, such as R CHOP , is generally reserved for those not responding completely to a reduction in immunosup pression and rituximab."
"2 K/ μL and her  LDH is elevated at 462 U/L (ULN 248 U/L). Quantitative  assessment of serum EBV is 42,000 IU/mL. A core needle  biopsy of one of the larger cervical nodes shows a diffuse  infiltrate of large CD20 positive B-cells. The cells express  EBER and kappa light chain restriction. The most critical  next step in terms of evaluating the biopsy specimen for  diagnosis would be:  ",C,"This is suspicious for monomorphic PTLD. However, given that the original diagnosis was DLBCL, this also could be a recurrence after the patient had an increase in her immuno suppressive regimen. Since she had a male donor, evaluat ing the biopsy for XY chromosomes will quickly tell you whether it is the donor or the host. If it is the donor, this is PTLD and can be treated accordingly. However, if it is the host, this is a recurrence of her lymphoma and represents a failure of the transplant."
The karyotype comes back as XY showing a donor origin  for the lymphoma. Your initial therapy recommendation is:  ,B,"Rituximab. Reducing immunosuppression is not likely to help when the PTLD is of donor origin. The donor’s im mune system will be unlikely to recognize the PTLD even if there is less immunosuppression. In addition, with the recent flare of GVHD, this could precipitate further GVHD. For similar reasons, DLI would not be helpful and would carry significant risk. Many patients with PTLD post al logeneic SCT respond to rituximab. R CHOP is likely not ideal here as it carries more toxicity than the single agent rituximab, and it is likely that this patient has had full doses of anthracycline in the past. REFERENCE Question 1 1. Swerdlow S H, Campo E, Harris N L, et al., eds. WHO Classiﬁcation of Tumors of Haematopoietic and Lymphoid Tissues . Lyon: IARC; 2008."
What is the objective of using a conditioning regimen for  hematopoietic stem cell (HSC) transplantation,D,"The pretransplant regimen is intended to accomplish two goals: ablate the tumor (autologous and allogeneic trans plantation) and achieve adequate immunosuppression to allow donor engraftment (allogeneic transplantation, only). Cancers treatable by HCT are usually those that ex hibit a strong dose sensitivity, justifying the treatment of patients with dose intense regimens. Bone marrow is also exquisitely sensitive to many of the agents used in the pre transplant conditioning regimens, which is the basis for infusion of HCT. Conditioning regimens range from fully myeloablative (which destroy the inherent hematopoietic function of the bone marrow) and nonmyeloablative or re duced intensity conditioning, which are chosen to be used in the elderly population or for transplant of nonmalig nant conditions, such as severe aplastic anemia."
What is the main mechanism of graft-versus-leukemia ef - fect using donor lymphocyte infusion,B,"Relapse is the main cause of failure after allogeneic HCT. The effect of graft versus tumor response depends on fac tors that improve the activity of cytotoxic T lymphocytes that recognize tumor specific antigens presented by major histocompatibility complex (MHC) class I or class II mole cules. Many tumors evade recognition by the immune sys tem by downregulating surface MHC, which is one reason for relapses after allogeneic HSCT. Other factors that con tribute are secretion by tumor cells of inhibitory cytokines, such as TGF beta."
Which of the following increases the risk of relapse af - ter an allogeneic and/or autologous stem cell transplant  (ASCT),D,"The inability to achieve a complete remission with prior chemotherapy is predictive of higher risk of relapse after autologous or allogeneic HCT. Aggressiveness of the tu mor is judged by disease responsiveness to induction regi mens as well as the duration of the response. Transplants may not be appropriate when the expected benefit is slim, such as in the setting of a large disease burden or rapid kinetics of tumor growth in the period preceding HCT."
Risk factors for increased acute and/or chronic GVHD are  all the following except—  ,E,"GVHD occurs after all allogeneic HSCTs. The likelihood of GVHD may vary based on the degree of HLA matching; for example, higher risk of GVHD in a mismatched unre lated HSCT compared with a matched unrelated HSCT and matched related HSCT. This is due to several factors not limited to major HLA matching. Mismatch at minor histo compatibility antigens also play a role in initiating GVHD. The more myeloablative the regimen, the higher the chance of acute GVHD as a result of tissue injury from the condi tioning regimen. Researchers found that using peripheral blood stem cells, compared with bone marrow stem cells, results in a higher incidence of chronic GVHD. Ultimately, the higher the cytotoxic T cell to the regulatory T cell ratio, the greater the GVHD. In addition, any insults in the form of infections, surgeries, or phototoxicity can trigger GVHD."
5 mg/dL.     What is the likely cause of his oral symptoms,C,"Acute GVHD presents with three organ involvement; GI resulting in nausea, vomiting, anorexia, and diarrhea; Hematopoietic Cell Transplantation 52 skin resulting is varying degrees of rash; and liver result ing is rising total bilirubin. This patient has none of these. Chronic GVHD involves multiple organs. This patient does not seem to have any organ involvement of symp toms of GVHD. Tacrolimus toxicity occurs most common ly if blood levels are greater than 15 ng/mL. While some patients can be sensitive to tacrolimus even at lower levels, oral ulcers are very rare side effects of tacrolimus and do not typically occur at levels below 10 ng/mL. CMV reacti vation is a possibility following allogeneic HCT. However, both patient and donor are CMV negative, with very low risk of reactivation. In the post engraftment phase (30–100 days after hematopoietic cell transplant) infections relate primarily to impaired cell mediated immunity. The depth of this defect is determined by the extent of GVHD and im munosuppressive therapy in use. HSV , particularly CMV , are common infectious agents during this period. HSV typically causes painful oral sores, and a testing with viral cultures/PCRs is warranted."
"8 mg/dL, WBC 1200 cells/ μL. She has no known  preexisting liver conditions. What is the likely diagno - sis",E,"Hepatic SOS or, as it was previously known, venoocclusive disease (VOD) occurs after an injury to the hepatic venous endothelium. Preexisting liver disease, use of busulfan, cyclophosphamide, high doses of TBI, and female gender are all considered risk factors for SOS. The triad of clinical signs is weight gain, increased abdominal girth with ten der hepatomegaly, and rise in total bilirubin. Serial Dop pler ultrasounds of the liver will reveal reversal of portal vein flow indicative of sinusoidal obstruction. Thrombo cytopenia eventually ensues. Depending on the severity of the disease, it can be fatal. Immediate clinical diagnosis is necessary and treatment involves prompt institution of recently approved defibrotide along with aggressive sup portive care."
"Following HSC transplantation, what is the correct order  of immune reconstitution",A,"The recovery of the innate immune system (e.g., neutro phils, monocytes, and NK cells) is influenced by the graft type and is fastest with filgrastim mobilized blood stem cells, is intermediate with bone marrow, and is slowest with umbilical cord blood. This is followed by recovery of CD8+ T cells and B cells, whose counts may become supranormal transiently. B cell recovery is influenced by graft type (fastest after cord blood transplant) and is de layed by GVHD and/or its treatment. Subsequently, plas ma cells, and tissue macrophages/microglia, which are relatively resistant to chemo/radiotherapy, recover. The nadir of these cells may be lower in the presence of acute GVHD due to the graft versus host plasma cell effect. Fi nally, the recovery of CD4+ T cells is influenced by the T cell content of the graft and patient age (faster in children than adults). Therefore close monitoring of the patient’s immune reconstitution markers (e.g., IgG levels and CD4+ counts) assists in guiding physicians about discontinuing prophylactic antiinfective therapy."
2 mg/dL. A direct antiglobulin CHAPTER 12 Hematopoietic Cell Transplantation Pashna N. Munshi and Corey CutlerHematopoietic Cell Transplantation 48 test returns negative. He is otherwise asymptomatic. He is  taking tacrolimus and sirolimus for prevention of GVHD.  Tacrolimus levels have been within 7–9 ng/mL range. A  bone marrow biopsy is without any leukemic blasts but  shows a slightly hypocellular marrow with increased  megakaryocytes and erythroblasts. What is the most likely  cause of his abnormal studies,D,"The Blood and Marrow Transplant Clinical Trials Net work (BMT CTN) operational definition of TMA requires the following: microangiopathic hemolysis (red blood cell fragmentation and ≥2 schistocytes per high power field on a peripheral blood smear), concurrent increased se rum LDH above institutional baseline, concurrent renal (defined as doubling of serum creatinine from baseline or 50% decrease in creatinine clearance from baseline) and/ or neurologic dysfunction without other explanations, and negative direct and indirect Coombs tests results. TMA may occur after allogeneic hematopoietic stem cell trans plantation and is related, in part, to calcineurin inhibitor toxicity particularly in combination with sirolimus even when tacrolimus levels are within normal range (nano grams per milliliter). Acute GVHD affects the liver with rising total bilirubin and can suppress the bone marrow function; however, the patient has no clinical evidence of involvement of skin, gut, or hepatic systems. ITP can re sult in declining platelets and similar bone marrow biopsy findings, but it does not explain the rising creatinine. Re lapsed AML is unlikely in a bone marrow biopsy that is unrevealing of disease."
A 46-year-old man has IPSS Intermediate-2 risk MDS and  has an HLA-matched sibling available to be a stem cell  donor. Which of the following transplantation strategies is  the most appropriate recommendation for him,A,"Immediate transplantation from an HLA matched sibling is most appropriate. Given his age, a reduced toxicity ap proach is not recommended, and the decision to delay transplantation or not to undergo transplantation at all are both associated with a loss of total life years."
A 56-year-old otherwise healthy woman with AML pre - sents for evaluation for transplantation. She had a mono - somal karyotype at presentation and is in remission after  one induction course and a course of consolidation chem - otherapy. A suitably matched unrelated donor has been  identified from the Bone Marrow Donor Registry. Which  of the following transplantation strategies is the most ap - propriate recommendation for her,B,"Myeloablative transplantation should be offered. This woman has adverse risk AML by virtue of her monosomal karyotype; therefore, transplantation in first remission is in dicated. There is no advantage to pursuing further courses of consolidation chemotherapy prior to transplantation, and myeloablative transplantation is preferred over reduced in tensity transplantation on the basis of a large randomized trial, prematurely halted, that demonstrated improved outcomes in leukemic patients offered myeloablative trans plantation over reduced intensity transplantation."
Which of these statements is true,E,"The consensus recommendations from the CDC, IDSA, CIBMTR, ASBMT, EBMT, NMDP , and SHEA jointly sug gest using fluoroquinolones as primary prophylaxis to prevent bacterial infections for the period of neutrope nia. In case of drug allergy or other reasons, azithromycin 250 mg daily can be used instead. Due to lack of data, there are currently no antimicrobial prophylactic regimens that can be recommended for children. Some experts use levo floxacin for pediatric antibacterial prophylaxis."
9 mg/dL. He received a platelet transfusion yesterday for  platelet count of 9000 cells/ μL. What is the likely cause of  this patient’s symptoms,C,"Tacrolimus is a calcineurin inhibitor developed from a fungus. It reduced inflammation by decreasing cytokine release and subsequently interleukin 2. It is metabolized through the cytochrome p450 pathway in the liver and interacts with several drugs, such as like antiemetics and antibiotics. Such interactions can result in increased tac rolimus levels and signs of toxicity, including uncontrolled hypertension, headache, confusion, and renal insuffi ciency. Another concerning complication of tacrolimus toxicity is posterior reversal encephalopathy syndrome (PRES), which is usually reversible on drug discontinua tion. Therefore, this patient should get magnetic resonance imaging of the brain to rule out any flare or hyperintensity in the T2 weighted diffusion images. CNS leukemia can result in headaches and vision changes, but is unlikely to cause renal insufficiency. HSV encephalitis is unlikely in a patient taking antiviral prophylaxis. Methotrexate toxic ity, while causing renal injury, does not cause headaches and confusion. Intracranial bleeds will result in stroke like symptoms rather than renal injury and confusion."
A 19-year-old woman is a stem cell donor for her 25-year- old sister with AML. She suddenly develops left upper  quadrant abdominal pain and has a near syncopal episode.  Her BP is 98/64 mm Hg with a heart rate of 118 beats/min - ute. She is on the third day of taking high dose filgrastim.  She denies any abdominal pain prior to this. She is other - wise healthy and has normal menses. Her last menstrual  cycle was 2 weeks ago. What is the reason for her abdomi - nal pain,C,Splenic rupture is a very rare yet potentially fatal complica tion of granulocyte colony stimulating factor (G CSF) such Hematopoietic Cell Transplantation 53 as filgrastim. Ectopic pregnancy is unlikely since female donors are screened for pregnancy prior to the collection of stem cells. She also just had her menstrual cycle recently. G CSF induced bone pain is more gradual in onset and is generalized and dull in nature. Pancreatitis typically caus es pain radiating to the midback and is associated with nausea and vomiting. G CSF is not known to promote kid ney stones.
"Your patient is a 57-year-old man with AML. He is CMV  IgG negative. His ABO blood type is O Rh+. You recom - mend that he undergoes an allogeneic stem cell transplant.  He has two sisters and one brother. His sisters are 45 and  63 years old. His sisters have no children, but his younger  sister has had one miscarriage in the past. His brother is 52  years old with mild hypertension. Who would you choose  as a donor",C,"The choice of a donor is of great importance because it can predict the outcome of the transplant based on HLA typ ing, age, gender, CMV status, and ABO compatibility of the donor. Matching donor and recipient for HLA class I ( A, B, and C) and class II ( DRB1 and DQB1) haplotypes is a key part of successful allogeneic HCT. A 12 of 12 HLA match refers to donor recipient pairs matched for HLA A, HLA B, HLA C, HLA DRB1, HLA DQB1, and HLA DP1 at the allele level. A full HLA matched donor is preferred over a mismatched or an unrelated donor. Many transplant centers are now performing half matched (haploidentical) donor transplants with the advent of posttransplant cyclo phosphamide and the low risk of graft failure. However, the transplant community is yet to reach a consensus on favoring these transplants over a full HLA matched donor. When available, a matched sibling donor is preferred over other donor sources due to improved clinical outcomes following transplant (e.g., less GVHD) and the speed and cost effectiveness of the search. As such, the initial search should center on molecular HLA typing of the patient’s full biological siblings. The next important screen is the donor’s age. A younger donor is always preferred over an older donor. The effect of donor age was best demon strated in a retrospective analysis from the Center for In ternational Blood and Marrow Transplant Research of over 11,000 unrelated transplants performed from 1988 to 2011 that evaluated the effects of various donor characteristics (e.g., age, sex, CMV serologic status, ABO compatibility, race, and parity) on recipient outcome. For every 10 year increment in donor age, there was a 5.5% increase in the hazard ratio (HR) for mortality. Older donor age was also associated with an increase in acute GVHD but not chronic GVHD. Recipients with female donors who had under gone multiple pregnancies have a higher rate of chronic GVHD than recipients with male donors or nulliparous female donors. Therefore, this patient’s 45 year old sister would not be an ideal candidate. The CMV serostatus im pacts transplant related morbidity and mortality in some studies (Schmidt Hieber M. et al, Blood 2013). CMV reacti vation is a challenging problem following allogeneic stem cell transplants, hence a CMV negative donor is favored for a CMV negative recipient. In choosing a donor, the physician must remember that the above mentioned fac tors only come into effect when there are multiple donor choices available. An unrelated donor search can be time consuming, and delays might result in disease relapse in the interim."
A patient with the following HLA type is scheduled to un - dergo allogeneic stem cell transplantation for MDS,D,"An HLA DQ β1 mismatched donor is the best option pre sented here. HLA A, B, C, and DR β1 are more important considerations over HLA DQ β1, which only minimally impacts on the rate of GVHD. Also note that allelic mis matches carry the same risk of antigenic mismatches."
"Concerning the following two donor recipient pairs, which  is the true statement (HLA disparities indicated in bold)",D,Recipient 2 is more likely to experience GVHD. Recipient 1 is homozygous at HLA B and is more likely to experience graft rejection due to the recognition of foreign HLA B. The risk of GVHD is not increased in the scenario. Donor 2 is homozygous at HLA A and is more likely to induce GVHD due to the recognition of foreign HLA A in the recipient. There is no increased risk of graft rejection in Recipient 2.
A 32-year-old man with adverse risk AML is scheduled to  undergo allogeneic transplantation. He has three biologi - cal siblings and two half-siblings. Which of the following  statements regarding the likelihood of finding a family  member for donation is true,C,"The likelihood of finding a match exceeds 50%. The likeli hood of finding a donor among biological siblings can be estimated by the formula: Likelihood of Match =1−(0.75)n where n represents the number of biological siblings. In this case, with three siblings, the likelihood of match is approximately 58%. Note that only full biological siblings should be typed when a full HLA match is sought. At most, half siblings can be haploidentical to their half sibling."
